Reporting Date,Deal Owner,Customer,Country,Sales stage,Deal size,Probability,Weighted Forecast,Sales Channel,Close Date/Expected Close Date,Next Steps,Column1,
02-Jan-2015,Paul,Customer 20,Australia,Identified,2920,70.0%,2044,F2F,25-Apr-2015,Send Email,113,
02-Jan-2015,Arnold,Customer 21,Australia,Validated,1570,80.0%,1256,F2F,12-May-2015,Schedule a Meeting,130,
02-Jan-2015,Piere,Customer 22,India,Identified,980,65.0%,637,F2F,13-May-2015,No Response,131,
02-Jan-2015,Charlie,Customer 23,China,Lost,2230,70.0%,1561,F2F,14-May-2015,,132,
03-Jan-2015,Mike,Customer 24,Malaysia,Validated,1390,70.0%,973,Partners,02-Apr-2015,Schedule a Meeting,89,
03-Jan-2015,Angela,Customer 25,UK,Won,3960,50.0%,1980,Telesales,04-Feb-2015,,,
03-Jan-2015,Denny,Customer 26,Malaysia,Identified,4800,75.0%,3600,F2F,21-Apr-2015,No Response,108,
03-Jan-2015,Charlie,Customer 27,UK,Won,1990,70.0%,1393,F2F,04-Feb-2015,,,
03-Jan-2015,Lynda,Customer 28,China,Validated,210,55.0%,115.5,Website,04-Apr-2015,No Response,91,
03-Jan-2015,Bob,Customer 29,India,Identified,1200,65.0%,780,Partners,21-Apr-2015,No Response,108,
03-Jan-2015,Greg,Customer 30,Indonesia,Proposal,2760,85.0%,2346,F2F,02-Apr-2015,,89,
03-Jan-2015,Tim,Customer 31,India,Identified,4210,55.0%,2315.5,F2F,04-Jun-2015,Send Email,152,
03-Jan-2015,Cameron,Customer 32,US,Identified,2690,85.0%,2286.5,F2F,29-Jun-2015,Send Email,177,
03-Jan-2015,John,Customer 33,UK,Qualified,290,70.0%,203,Website,31-May-2015,Send Email,148,
03-Jan-2015,Bob,Customer 34,France,Validated,4690,65.0%,3048.5,F2F,05-May-2015,Follow up on call,122,
03-Jan-2015,Adrian,Customer 35,Canada,Identified,980,55.0%,539,Telesales,19-May-2015,Follow up on call,136,
04-Jan-2015,Edwin,Customer 36,Canada,Identified,1670,65.0%,1085.5,F2F,07-Jun-2015,,154,
04-Jan-2015,Angela,Customer 37,Malaysia,Identified,1030,65.0%,669.5,F2F,08-Jun-2015,Follow up on call,155,
04-Jan-2015,Rose,Customer 38,Indonesia,Validated,3180,60.0%,1908,Partners,02-Jun-2015,Schedule a Meeting,149,
04-Jan-2015,Chang,Customer 39,Australia,Proposal,2360,50.0%,1180,Partners,28-Jun-2015,Follow up on call,175,
04-Jan-2015,Martha,Customer 40,Germany,Proposal,550,85.0%,467.5,Telesales,05-Apr-2015,Follow up on call,91,
04-Jan-2015,Greg,Customer 41,India,Validated,2900,60.0%,1740,F2F,11-Apr-2015,Send Email,97,
04-Jan-2015,Lynda,Customer 42,Indonesia,Qualified,3700,55.0%,2035,F2F,22-Apr-2015,Schedule a Meeting,108,
04-Jan-2015,Piere,Customer 43,US,Validated,1890,60.0%,1134,F2F,03-Apr-2015,Follow up on call,89,
04-Jan-2015,Rose,Customer 44,Australia,Identified,880,70.0%,616,Telesales,24-Jun-2015,Follow up on call,171,
04-Jan-2015,Arnold,Customer 45,China,Identified,3820,60.0%,2292,F2F,06-Apr-2015,Follow up on call,92,
04-Jan-2015,Chang,Customer 46,India,Identified,780,65.0%,507,Telesales,08-Apr-2015,No Response,94,
04-Jan-2015,Greg,Customer 47,US,Identified,4400,75.0%,3300,F2F,17-May-2015,Follow up on call,133,
04-Jan-2015,Paul,Customer 48,UK,Validated,2040,85.0%,1734,F2F,28-Jun-2015,Schedule a Meeting,175,
05-Jan-2015,Chang,Customer 49,Australia,Proposal,2130,60.0%,1278,F2F,11-Apr-2015,Follow up on call,96,
05-Jan-2015,Rachael,Customer 50,Malaysia,Identified,4910,85.0%,4173.5,F2F,18-May-2015,,133,
05-Jan-2015,Adrian,Customer 51,Germany,Qualified,3720,60.0%,2232,F2F,20-May-2015,,135,
05-Jan-2015,Paul,Customer 52,Germany,Validated,2140,60.0%,1284,F2F,15-Jun-2015,Schedule a Meeting,161,
05-Jan-2015,Denny,Customer 53,Canada,Identified,3420,70.0%,2394,F2F,27-May-2015,Schedule a Meeting,142,
05-Jan-2015,Arnold,Customer 54,Germany,Identified,620,50.0%,310,Telesales,08-May-2015,Follow up on call,123,
05-Jan-2015,Greg,Customer 55,France,Qualified,3980,55.0%,2189,Partners,15-May-2015,No Response,130,
05-Jan-2015,Bob,Customer 56,Canada,Proposal,1940,70.0%,1358,F2F,17-Jun-2015,Follow up on call,163,
06-Jan-2015,Charlie,Customer 57,Indonesia,Qualified,3590,55.0%,1974.5,Telesales,17-Jun-2015,No Response,162,
06-Jan-2015,Charlie,Customer 58,China,Proposal,4630,65.0%,3009.5,F2F,11-Jun-2015,Send Email,156,
06-Jan-2015,Edwin,Customer 59,France,Identified,450,75.0%,337.5,Partners,12-Apr-2015,No Response,96,
06-Jan-2015,Tim,Customer 60,Canada,Identified,4470,75.0%,3352.5,F2F,08-Apr-2015,Send Email,92,
06-Jan-2015,Tim,Customer 61,Germany,Identified,3620,80.0%,2896,F2F,13-Apr-2015,Follow up on call,97,
06-Jan-2015,Martha,Customer 62,Canada,Proposal,750,75.0%,562.5,Partners,05-Jun-2015,Follow up on call,150,
06-Jan-2015,Greg,Customer 63,France,Validated,3530,85.0%,3000.5,Partners,25-Apr-2015,,109,
06-Jan-2015,Edwin,Customer 64,Australia,Won,4380,65.0%,2847,F2F,03-Mar-2015,,,
06-Jan-2015,Tim,Customer 65,Indonesia,Identified,3500,55.0%,1925,Telesales,16-Apr-2015,Follow up on call,100,
07-Jan-2015,Arnold,Customer 66,Malaysia,Lost,2620,70.0%,1834,Telesales,15-May-2015,,128,
07-Jan-2015,Martha,Customer 67,France,Validated,3140,65.0%,2041,F2F,29-May-2015,Follow up on call,142,
07-Jan-2015,Rose,Customer 68,UK,Validated,130,75.0%,97.5,Website,09-Jun-2015,Send Email,153,
07-Jan-2015,Tim,Customer 69,Germany,Proposal,4680,65.0%,3042,Partners,03-Apr-2015,,86,
07-Jan-2015,Martha,Customer 70,US,Proposal,4660,65.0%,3029,Partners,02-Jun-2015,Follow up on call,146,
07-Jan-2015,Martha,Customer 71,Germany,Validated,4220,70.0%,2954,Partners,07-Apr-2015,Schedule a Meeting,90,
07-Jan-2015,Martha,Customer 72,Malaysia,Identified,4300,80.0%,3440,Telesales,11-May-2015,No Response,124,
08-Jan-2015,Arnold,Customer 73,UK,Identified,2950,70.0%,2065,F2F,20-Jun-2015,Follow up on call,163,
08-Jan-2015,Chang,Customer 74,Malaysia,Won,3880,85.0%,3298,Partners,21-Apr-2015,,,
08-Jan-2015,Denny,Customer 75,Germany,Identified,1350,55.0%,742.5,F2F,31-May-2015,Schedule a Meeting,143,
08-Jan-2015,Cameron,Customer 76,Germany,Lost,2260,85.0%,1921,F2F,05-Jun-2015,,148,
08-Jan-2015,Denny,Customer 77,India,Qualified,3560,55.0%,1958,Partners,11-Apr-2015,Schedule a Meeting,93,
08-Jan-2015,Mike,Customer 78,US,Qualified,1150,85.0%,977.5,F2F,19-Apr-2015,Schedule a Meeting,101,
08-Jan-2015,Tim,Customer 79,France,Qualified,3630,60.0%,2178,F2F,17-Apr-2015,,99,
08-Jan-2015,Piere,Customer 80,US,Validated,2490,80.0%,1992,Partners,23-Jun-2015,No Response,166,
08-Jan-2015,Chang,Customer 81,Germany,Identified,2850,55.0%,1567.5,Partners,05-May-2015,,117,
08-Jan-2015,Rachael,Customer 82,China,Validated,4780,85.0%,4063,Partners,21-May-2015,Follow up on call,133,
09-Jan-2015,Martha,Customer 83,China,Qualified,4320,60.0%,2592,Partners,08-May-2015,No Response,119,
09-Jan-2015,Edwin,Customer 84,US,Qualified,390,55.0%,214.5,Website,17-May-2015,,128,
09-Jan-2015,Joe,Customer 85,Malaysia,Lost,4770,55.0%,2623.5,F2F,04-May-2015,,115,
09-Jan-2015,Rose,Customer 86,Indonesia,Identified,4470,70.0%,3129,F2F,15-Jun-2015,Schedule a Meeting,157,
09-Jan-2015,Tim,Customer 87,India,Identified,620,55.0%,341,F2F,10-Jun-2015,Schedule a Meeting,152,
09-Jan-2015,Chang,Customer 88,China,Validated,2320,80.0%,1856,Telesales,22-May-2015,Send Email,133,
09-Jan-2015,Denny,Customer 89,Malaysia,Validated,3180,55.0%,1749,F2F,16-Jun-2015,Schedule a Meeting,158,
09-Jan-2015,Arnold,Customer 90,UK,Identified,2190,65.0%,1423.5,Partners,25-Apr-2015,Send Email,106,
09-Jan-2015,Adrian,Customer 91,Indonesia,Proposal,4010,65.0%,2606.5,Partners,30-May-2015,No Response,141,
09-Jan-2015,Lynda,Customer 92,Australia,Proposal,4160,75.0%,3120,Partners,11-Jun-2015,Send Email,153,
09-Jan-2015,John,Customer 93,Australia,Validated,580,80.0%,464,Telesales,12-May-2015,Follow up on call,123,
09-Jan-2015,Paul,Customer 94,India,Won,3380,75.0%,2535,Partners,03-Mar-2015,,,
09-Jan-2015,Charlie,Customer 95,Germany,Identified,3010,75.0%,2257.5,Telesales,02-Jun-2015,Send Email,144,
10-Jan-2015,Piere,Customer 96,Germany,Qualified,470,70.0%,329,F2F,02-Apr-2015,Schedule a Meeting,82,
10-Jan-2015,Charlie,Customer 97,India,Won,4460,55.0%,2453,F2F,29-Jan-2015,,,
10-Jan-2015,Piere,Customer 98,UK,Qualified,3320,55.0%,1826,Partners,09-May-2015,Schedule a Meeting,119,
10-Jan-2015,Angela,Customer 99,UK,Proposal,2800,70.0%,1960,Partners,17-Jun-2015,Follow up on call,158,
10-Jan-2015,Lynda,Customer 100,Indonesia,Proposal,1270,55.0%,698.5,Partners,14-May-2015,,124,
10-Jan-2015,Arnold,Customer 101,China,Identified,1390,75.0%,1042.5,F2F,29-Jun-2015,,170,
10-Jan-2015,Mike,Customer 102,Canada,Identified,2420,70.0%,1694,Telesales,02-May-2015,Follow up on call,112,
10-Jan-2015,Denny,Customer 103,Australia,Validated,4330,70.0%,3031,F2F,11-Apr-2015,Follow up on call,91,
10-Jan-2015,Cameron,Customer 104,Germany,Proposal,740,65.0%,481,F2F,23-May-2015,No Response,133,
10-Jan-2015,Edwin,Customer 105,UK,Qualified,1040,75.0%,780,F2F,17-Jun-2015,Follow up on call,158,
10-Jan-2015,Joe,Customer 106,Germany,Proposal,1440,55.0%,792,F2F,07-Apr-2015,Schedule a Meeting,87,
10-Jan-2015,Piere,Customer 107,Indonesia,Qualified,1950,85.0%,1657.5,F2F,24-May-2015,,134,
10-Jan-2015,Edwin,Customer 108,India,Identified,4670,85.0%,3969.5,Telesales,25-Apr-2015,Schedule a Meeting,105,
11-Jan-2015,Chang,Customer 109,Germany,Proposal,1020,85.0%,867,Partners,24-Apr-2015,Send Email,103,
11-Jan-2015,Charlie,Customer 110,Indonesia,Identified,490,60.0%,294,F2F,12-Jun-2015,Follow up on call,152,
11-Jan-2015,Adrian,Customer 111,Canada,Identified,4480,80.0%,3584,F2F,02-Apr-2015,No Response,81,
11-Jan-2015,Paul,Customer 112,Indonesia,Validated,3220,60.0%,1932,Partners,18-Apr-2015,Follow up on call,97,
11-Jan-2015,Rose,Customer 113,China,Identified,780,70.0%,546,F2F,18-May-2015,No Response,127,
11-Jan-2015,Martha,Customer 114,Australia,Validated,1890,65.0%,1228.5,F2F,20-Jun-2015,No Response,160,
11-Jan-2015,Cameron,Customer 115,France,Qualified,3030,70.0%,2121,Partners,20-May-2015,Send Email,129,
11-Jan-2015,Paul,Customer 116,China,Identified,3980,55.0%,2189,F2F,04-Jun-2015,No Response,144,
11-Jan-2015,Joe,Customer 117,China,Validated,800,60.0%,480,Partners,31-May-2015,Follow up on call,140,
11-Jan-2015,Denny,Customer 118,US,Proposal,1660,80.0%,1328,F2F,05-Apr-2015,No Response,84,
11-Jan-2015,Adrian,Customer 119,Canada,Identified,2930,75.0%,2197.5,F2F,09-May-2015,Schedule a Meeting,118,
12-Jan-2015,Martha,Customer 120,Malaysia,Validated,1730,55.0%,951.5,F2F,14-Apr-2015,Follow up on call,92,
12-Jan-2015,Piere,Customer 121,Australia,Identified,3620,55.0%,1991,Telesales,15-Apr-2015,Follow up on call,93,
12-Jan-2015,Greg,Customer 122,Australia,Identified,1100,80.0%,880,F2F,29-Apr-2015,Follow up on call,107,
12-Jan-2015,Chang,Customer 123,China,Proposal,1210,80.0%,968,F2F,15-May-2015,Follow up on call,123,
12-Jan-2015,Piere,Customer 124,US,Identified,3720,75.0%,2790,F2F,03-May-2015,Send Email,111,
12-Jan-2015,Angela,Customer 125,China,Validated,1230,85.0%,1045.5,F2F,10-Jun-2015,Follow up on call,149,
12-Jan-2015,Mike,Customer 126,Malaysia,Validated,4530,75.0%,3397.5,Partners,09-May-2015,Send Email,117,
12-Jan-2015,Rachael,Customer 127,India,Identified,4640,60.0%,2784,F2F,02-May-2015,,110,
12-Jan-2015,Greg,Customer 128,India,Validated,4860,55.0%,2673,Telesales,12-May-2015,Follow up on call,120,
12-Jan-2015,Piere,Customer 129,Malaysia,Identified,1310,70.0%,917,Telesales,08-Apr-2015,Follow up on call,86,
12-Jan-2015,Piere,Customer 130,Germany,Identified,1500,60.0%,900,Partners,25-Jun-2015,Follow up on call,164,
13-Jan-2015,Chang,Customer 131,China,Identified,490,70.0%,343,F2F,28-Apr-2015,Send Email,105,
13-Jan-2015,Mike,Customer 132,US,Proposal,2520,85.0%,2142,Partners,26-May-2015,No Response,133,
13-Jan-2015,Rose,Customer 133,China,Validated,2010,70.0%,1407,F2F,28-Apr-2015,Follow up on call,105,
13-Jan-2015,Charlie,Customer 134,Germany,Proposal,1750,80.0%,1400,Partners,16-Jun-2015,Follow up on call,154,
13-Jan-2015,Martha,Customer 135,Indonesia,Won,3960,75.0%,2970,F2F,07-Mar-2015,,,
13-Jan-2015,Mike,Customer 136,Canada,Validated,3450,70.0%,2415,Telesales,26-Jun-2015,Schedule a Meeting,164,
13-Jan-2015,Rose,Customer 137,Indonesia,Identified,1360,65.0%,884,Partners,28-Apr-2015,Schedule a Meeting,105,
13-Jan-2015,Lynda,Customer 138,Malaysia,Proposal,2900,55.0%,1595,Telesales,03-Jun-2015,Follow up on call,141,
13-Jan-2015,Charlie,Customer 139,Australia,Won,1460,55.0%,803,Partners,27-Jan-2015,,,
13-Jan-2015,Cameron,Customer 140,China,Qualified,1600,55.0%,880,Telesales,27-Apr-2015,Schedule a Meeting,104,
13-Jan-2015,Martha,Customer 141,Malaysia,Qualified,3010,85.0%,2558.5,F2F,29-Apr-2015,Schedule a Meeting,106,
13-Jan-2015,Piere,Customer 142,Canada,Qualified,3380,50.0%,1690,F2F,26-Jun-2015,Send Email,164,
13-Jan-2015,Joe,Customer 143,China,Validated,2850,55.0%,1567.5,F2F,09-Jun-2015,,147,
13-Jan-2015,Chang,Customer 144,Indonesia,Identified,4380,75.0%,3285,F2F,19-Jun-2015,,157,
14-Jan-2015,Adrian,Customer 145,Canada,Qualified,3330,65.0%,2164.5,Partners,19-Jun-2015,Follow up on call,156,
14-Jan-2015,Paul,Customer 146,US,Lost,3180,85.0%,2703,Partners,22-Jun-2015,,159,
14-Jan-2015,Piere,Customer 147,Indonesia,Qualified,1430,65.0%,929.5,F2F,07-Apr-2015,Schedule a Meeting,83,
14-Jan-2015,Edwin,Customer 148,Germany,Identified,440,75.0%,330,Website,16-Apr-2015,Send Email,92,
14-Jan-2015,Greg,Customer 149,India,Identified,430,60.0%,258,Partners,05-May-2015,,111,
14-Jan-2015,Martha,Customer 150,US,Won,210,65.0%,136.5,Partners,11-Mar-2015,,,
14-Jan-2015,John,Customer 151,Australia,Qualified,1590,55.0%,874.5,Partners,23-Apr-2015,No Response,99,
14-Jan-2015,John,Customer 152,Australia,Proposal,3510,75.0%,2632.5,F2F,15-May-2015,Follow up on call,121,
14-Jan-2015,Charlie,Customer 153,Malaysia,Identified,3500,80.0%,2800,Telesales,07-May-2015,Schedule a Meeting,113,
14-Jan-2015,Adrian,Customer 154,China,Validated,3510,80.0%,2808,F2F,19-May-2015,Send Email,125,
14-Jan-2015,Mike,Customer 155,UK,Validated,1590,65.0%,1033.5,F2F,12-Apr-2015,Follow up on call,88,
15-Jan-2015,Adrian,Customer 156,China,Qualified,2520,85.0%,2142,Partners,08-May-2015,Follow up on call,113,
15-Jan-2015,Cameron,Customer 157,Australia,Identified,3410,85.0%,2898.5,Telesales,11-May-2015,Follow up on call,116,
15-Jan-2015,Mike,Customer 158,France,Won,3270,80.0%,2616,Partners,01-Feb-2015,,,
15-Jan-2015,Chang,Customer 159,Canada,Identified,1560,85.0%,1326,Telesales,13-Apr-2015,Follow up on call,88,
15-Jan-2015,Rachael,Customer 160,US,Validated,3220,85.0%,2737,F2F,12-May-2015,Send Email,117,
15-Jan-2015,Martha,Customer 161,China,Identified,1590,60.0%,954,Telesales,04-Apr-2015,Follow up on call,79,
15-Jan-2015,Piere,Customer 162,Malaysia,Validated,3600,65.0%,2340,Partners,14-Apr-2015,Follow up on call,89,
15-Jan-2015,Adrian,Customer 163,US,Validated,2140,75.0%,1605,Partners,09-May-2015,,114,
15-Jan-2015,Paul,Customer 164,Malaysia,Qualified,2330,55.0%,1281.5,Telesales,20-Apr-2015,No Response,95,
16-Jan-2015,Rose,Customer 165,India,Qualified,4290,80.0%,3432,Partners,18-Apr-2015,Schedule a Meeting,92,
16-Jan-2015,Paul,Customer 166,Germany,Identified,1000,65.0%,650,F2F,29-Apr-2015,No Response,103,
16-Jan-2015,Arnold,Customer 167,Canada,Qualified,4260,80.0%,3408,F2F,11-Jun-2015,Send Email,146,
16-Jan-2015,Piere,Customer 168,Germany,Proposal,460,75.0%,345,Website,13-May-2015,No Response,117,
16-Jan-2015,Chang,Customer 169,Canada,Identified,1560,60.0%,936,F2F,10-Apr-2015,Follow up on call,84,
16-Jan-2015,Piere,Customer 170,France,Won,1100,80.0%,880,F2F,13-Feb-2015,,,
16-Jan-2015,Paul,Customer 171,Malaysia,Identified,3260,55.0%,1793,F2F,24-Apr-2015,Schedule a Meeting,98,
16-Jan-2015,Paul,Customer 172,Germany,Validated,550,65.0%,357.5,Telesales,03-Apr-2015,Schedule a Meeting,77,
16-Jan-2015,Rachael,Customer 173,Australia,Identified,4830,65.0%,3139.5,Telesales,12-Apr-2015,Schedule a Meeting,86,
16-Jan-2015,Lynda,Customer 174,US,Validated,4640,70.0%,3248,Telesales,27-Apr-2015,No Response,101,
16-Jan-2015,Bob,Customer 175,Malaysia,Validated,3500,80.0%,2800,Telesales,11-Apr-2015,Schedule a Meeting,85,
16-Jan-2015,Martha,Customer 176,Indonesia,Identified,740,65.0%,481,Telesales,22-Jun-2015,Send Email,157,
16-Jan-2015,Cameron,Customer 177,France,Identified,4560,85.0%,3876,Telesales,17-Apr-2015,Schedule a Meeting,91,
16-Jan-2015,Edwin,Customer 178,China,Validated,2870,80.0%,2296,Partners,19-Jun-2015,Follow up on call,154,
17-Jan-2015,Bob,Customer 179,Canada,Qualified,1980,80.0%,1584,F2F,26-Jun-2015,Schedule a Meeting,160,
17-Jan-2015,Bob,Customer 180,Australia,Validated,1680,70.0%,1176,Partners,12-Jun-2015,Send Email,146,
17-Jan-2015,Greg,Customer 181,Australia,Lost,1850,80.0%,1480,F2F,05-May-2015,,108,
17-Jan-2015,Angela,Customer 182,Australia,Qualified,4720,55.0%,2596,F2F,15-Jun-2015,Follow up on call,149,
17-Jan-2015,Rachael,Customer 183,China,Validated,1530,55.0%,841.5,Telesales,12-May-2015,Schedule a Meeting,115,
17-Jan-2015,Cameron,Customer 184,Canada,Identified,1440,70.0%,1008,F2F,23-Apr-2015,Follow up on call,96,
17-Jan-2015,Angela,Customer 185,Germany,Won,3570,65.0%,2320.5,F2F,24-Feb-2015,,,
17-Jan-2015,Arnold,Customer 186,China,Qualified,2900,65.0%,1885,Telesales,12-May-2015,Schedule a Meeting,115,
17-Jan-2015,Rachael,Customer 187,Malaysia,Identified,3900,70.0%,2730,F2F,31-May-2015,,134,
17-Jan-2015,Rachael,Customer 188,UK,Qualified,3280,70.0%,2296,F2F,05-Apr-2015,No Response,78,
18-Jan-2015,John,Customer 189,US,Validated,3410,65.0%,2216.5,F2F,07-Jun-2015,Send Email,140,
18-Jan-2015,Piere,Customer 190,Malaysia,Won,2520,60.0%,1512,F2F,27-Feb-2015,,,
18-Jan-2015,Martha,Customer 191,UK,Identified,2490,85.0%,2116.5,F2F,28-Apr-2015,No Response,100,
18-Jan-2015,Joe,Customer 192,China,Proposal,1250,85.0%,1062.5,Telesales,27-Apr-2015,No Response,99,
18-Jan-2015,Mike,Customer 193,China,Validated,1140,70.0%,798,F2F,21-Jun-2015,Follow up on call,154,
18-Jan-2015,Arnold,Customer 194,UK,Identified,2420,60.0%,1452,Partners,20-Jun-2015,Follow up on call,153,
18-Jan-2015,Martha,Customer 195,France,Identified,2370,70.0%,1659,Telesales,05-Apr-2015,,77,
18-Jan-2015,Tim,Customer 196,US,Identified,1220,70.0%,854,Telesales,06-May-2015,Follow up on call,108,
18-Jan-2015,Lynda,Customer 197,US,Validated,550,75.0%,412.5,Telesales,29-Apr-2015,Follow up on call,101,
18-Jan-2015,Edwin,Customer 198,Canada,Validated,2290,80.0%,1832,F2F,05-May-2015,Schedule a Meeting,107,
18-Jan-2015,Mike,Customer 199,India,Lost,4190,60.0%,2514,F2F,08-Apr-2015,,80,
18-Jan-2015,Martha,Customer 200,US,Identified,3410,65.0%,2216.5,F2F,17-Jun-2015,No Response,150,
18-Jan-2015,Arnold,Customer 201,Malaysia,Qualified,3020,65.0%,1963,Telesales,19-May-2015,Schedule a Meeting,121,
18-Jan-2015,Martha,Customer 202,UK,Validated,2320,80.0%,1856,Partners,11-Jun-2015,Schedule a Meeting,144,
19-Jan-2015,Cameron,Customer 203,China,Won,1310,80.0%,1048,F2F,28-Mar-2015,,,
19-Jan-2015,Rachael,Customer 204,India,Identified,4280,65.0%,2782,F2F,21-May-2015,Send Email,122,
19-Jan-2015,Rachael,Customer 205,China,Identified,3500,65.0%,2275,F2F,11-May-2015,Schedule a Meeting,112,
19-Jan-2015,Adrian,Customer 206,Australia,Identified,3060,85.0%,2601,F2F,22-Jun-2015,Schedule a Meeting,154,
19-Jan-2015,Greg,Customer 207,Indonesia,Validated,3770,75.0%,2827.5,Partners,08-Jun-2015,Schedule a Meeting,140,
19-Jan-2015,Edwin,Customer 208,France,Proposal,2590,50.0%,1295,F2F,06-Apr-2015,Follow up on call,77,
19-Jan-2015,Edwin,Customer 209,Australia,Validated,2910,60.0%,1746,F2F,13-May-2015,No Response,114,
19-Jan-2015,Rose,Customer 210,UK,Proposal,4020,55.0%,2211,Partners,27-Apr-2015,Send Email,98,
19-Jan-2015,Angela,Customer 211,Germany,Identified,2180,60.0%,1308,F2F,19-Jun-2015,Schedule a Meeting,151,
19-Jan-2015,Angela,Customer 212,UK,Validated,2980,60.0%,1788,F2F,25-Apr-2015,No Response,96,
19-Jan-2015,Mike,Customer 213,China,Validated,1280,50.0%,640,Partners,04-May-2015,,105,
19-Jan-2015,Greg,Customer 214,Germany,Won,2940,60.0%,1764,Partners,14-Mar-2015,,,
19-Jan-2015,Tim,Customer 215,France,Proposal,4090,65.0%,2658.5,F2F,09-Jun-2015,Follow up on call,141,
20-Jan-2015,Mike,Customer 216,France,Lost,950,85.0%,807.5,Partners,18-May-2015,,118,
20-Jan-2015,Tim,Customer 217,UK,Won,280,55.0%,154,Partners,01-Mar-2015,,,
20-Jan-2015,Denny,Customer 218,Malaysia,Validated,2430,60.0%,1458,F2F,06-May-2015,Schedule a Meeting,106,
20-Jan-2015,Arnold,Customer 219,Malaysia,Identified,2460,70.0%,1722,Partners,06-May-2015,Follow up on call,106,
20-Jan-2015,Denny,Customer 220,Canada,Identified,120,50.0%,60,Website,04-Apr-2015,Follow up on call,74,
20-Jan-2015,John,Customer 221,Germany,Proposal,4000,65.0%,2600,F2F,21-Jun-2015,Follow up on call,152,
20-Jan-2015,Adrian,Customer 222,Canada,Won,4340,65.0%,2821,F2F,31-Mar-2015,,,
20-Jan-2015,Denny,Customer 223,US,Validated,1460,60.0%,876,F2F,08-May-2015,No Response,108,
20-Jan-2015,Chang,Customer 224,Australia,Validated,4850,80.0%,3880,F2F,21-Apr-2015,No Response,91,
20-Jan-2015,Rachael,Customer 225,US,Proposal,2120,70.0%,1484,Partners,26-Jun-2015,No Response,157,
20-Jan-2015,Tim,Customer 226,Indonesia,Identified,930,85.0%,790.5,F2F,30-Apr-2015,Send Email,100,
21-Jan-2015,Lynda,Customer 227,China,Qualified,2380,60.0%,1428,Partners,03-Jun-2015,No Response,133,
21-Jan-2015,Cameron,Customer 228,US,Identified,480,75.0%,360,Website,22-Jun-2015,Send Email,152,
21-Jan-2015,Mike,Customer 229,France,Identified,4280,65.0%,2782,Telesales,13-Apr-2015,Schedule a Meeting,82,
21-Jan-2015,Rachael,Customer 230,China,Validated,1330,75.0%,997.5,Partners,30-Apr-2015,Schedule a Meeting,99,
21-Jan-2015,Edwin,Customer 231,Canada,Proposal,4560,75.0%,3420,F2F,28-May-2015,Schedule a Meeting,127,
21-Jan-2015,Tim,Customer 232,China,Identified,4060,65.0%,2639,Partners,12-Jun-2015,,142,
21-Jan-2015,Bob,Customer 233,US,Qualified,1860,80.0%,1488,Partners,06-May-2015,Schedule a Meeting,105,
